NumberCode,LongTitle,StatusName,LatestCompletedMajorStageNameWithChamberSuffix,SessionNumber,BillDocumentTypeName,IsGovernmentBill,IsHouseBill,IsSenateBill,SponsorPersonName,LatestBillEventNumberOfAmendments,PassedFirstChamberFirstReading,PassedFirstChamberSecondReading,PassedFirstChamberThirdReading,PassedSecondChamberFirstReading,PassedSecondChamberSecondReading,PassedSecondChamberThirdReading,ReceivedRoyalAssent,IsSessionOngoing
C-9,An Act to amend the Judges Act,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-10,An Act respecting certain measures related to COVID-19,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-11,An Act to amend the Broadcasting Act and to make related and consequential amendments to other Acts,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-12,An Act to amend the Old Age Security Act (Guaranteed Income Supplement),Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-13,"An Act to amend the Official Languages Act, to enact the Use of French in Federally Regulated Private Businesses Act and to make related amendments to other Acts",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-14,"An Act to amend the Constitution Act, 1867 (electoral representation)",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-15,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2022",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-16,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-17,An Act to amend the Federal-Provincial Fiscal Arrangements Act and to authorize certain payments to be made out of the Consolidated Revenue Fund,At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-18,An Act respecting online communications platforms that make news content available to persons in Canada,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-19,"An Act to implement certain provisions of the budget tabled in Parliament on April 7, 2022 and other measures",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-20,An Act establishing the Public Complaints and Review Commission and amending certain Acts and statutory instruments,At consideration in committee in the House of Commons,Second reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,True,False,False,False,False,False,True
C-21,An Act to amend certain Acts and to make certain consequential amendments (firearms),At consideration in committee in the Senate,Second reading in the Senate,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,False,False,True
C-22,An Act to reduce poverty and to support the financial security of persons with disabilities by establishing the Canada disability benefit and making a consequential amendment to the Income Tax Act,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-23,"An Act respecting places, persons and events of national historic significance or national interest, archaeological resources and cultural and natural heritage",At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-24,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-25,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-26,"An Act respecting cyber security, amending the Telecommunications Act and making consequential amendments to other Acts",At consideration in committee in the House of Commons,Second reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,True,False,False,False,False,False,True
C-27,"An Act to enact the Consumer Privacy Protection Act, the Personal Information and Data Protection Tribunal Act and the Artificial Intelligence and Data Act and to make consequential and related amendments to other Acts",At consideration in committee in the House of Commons,Second reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,True,False,False,False,False,False,True
C-28,An Act to amend the Criminal Code (self-induced extreme intoxication),Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-29,An Act to provide for the establishment of a national council for reconciliation,At consideration in committee in the Senate,Second reading in the Senate,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,False,False,True
C-30,An Act to amend the Income Tax Act (temporary enhancement to the Goods and Services Tax/Harmonized Sales Tax credit),Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-31,An Act respecting cost of living relief measures related to dental care and rental housing,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-32,"An Act to implement certain provisions of the fall economic statement tabled in Parliament on November 3, 2022 and certain provisions of the budget tabled in Parliament on April 7, 2022",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-33,"An Act to amend the Customs Act, the Railway Safety Act, the Transportation of Dangerous Goods Act, 1992, the Marine Transportation Security Act, the Canada Transportation Act and the Canada Marine Act and to make a consequential amendment to another Act",At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-34,An Act to amend the Investment Canada Act,At consideration in committee in the House of Commons,Second reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,True,False,False,False,False,False,True
C-35,An Act respecting early learning and child care in Canada,At second reading in the Senate,First reading in the Senate,1,House Government Bill,False,True,False, ,0,True,True,True,True,False,False,False,True
C-36,"An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-37,An Act to amend the Department of Employment and Social Development Act and to make consequential amendments to other Acts (Employment Insurance Board of Appeal),At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-38,An Act to amend the Indian Act (new registration entitlements),At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-39,An Act to amend An Act to amend the Criminal Code (medical assistance in dying),Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-40,"An Act to amend the Criminal Code, to make consequential amendments to other Acts and to repeal a regulation (miscarriage of justice reviews)",At consideration in committee in the House of Commons,Second reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,True,False,False,False,False,False,True
C-41,An Act to amend the Criminal Code and to make consequential amendments to other Acts,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-42,An Act to amend the Canada Business Corporations Act and to make consequential and related amendments to other Acts,At second reading in the Senate,First reading in the Senate,1,House Government Bill,False,True,False, ,0,True,True,True,True,False,False,False,True
C-43,"An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-44,"An Act for granting to His Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2024",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-45,"An Act to amend the First Nations Fiscal Management Act, to make consequential amendments to other Acts, and to make a clarification relating to another Act",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-46,An Act to amend the Federal-Provincial Fiscal Arrangements Act and the Income Tax Act,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-47,"An Act to implement certain provisions of the budget tabled in Parliament on March 28, 2023",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-48,An Act to amend the Criminal Code (bail reform),At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-49,An Act to amend the Canada-Newfoundland and Labrador Atlantic Accord Implementation Act and the Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act and to make consequential amendments to other Acts,At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-50,"An Act respecting accountability, transparency and engagement to support the creation of sustainable jobs for workers and economic growth in a net-zero economy",At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-51,An Act to give effect to the self-government treaty recognizing the Whitecap Dakota Nation / Wapaha Ska Dakota Oyate and to make consequential amendments to other Acts,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
